teamId,name,jerseyNumber,batsThrows,pos,type,age,rosterStatus,annualSalary,signingBonus,serviceYears,serviceDays,yearsLeft,contractKind,contractSource,controlYears,controlKind,faGrade,pitcherRole,ovr,pot,hit,pow,spd,def,arm,pit,form,stamina,durability,trait,foreignPlayer,source,contractTotal,contractYears,contractStartYear,contractEndYear,guaranteedMoney,optionMoney,contractNote,signedTeam,injuryStatus,injuryName,injuryDays,rehab,returnSeasonYear,returnDay,injurySource
seoul-twin-stars,임찬규,1,우투우타,SP,PIT,34,ACTIVE,2,3,12,1836,2,실계약 4년 50억,2024 FA 계약,0,FA 자격권,B,SP,71,75,10,10,50,79,71,74,76,96,89,이닝이터 · 베테랑,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,50,,,,,,,,,,,,,,
seoul-twin-stars,함덕주,11,좌투좌타,SP,PIT,31,ACTIVE,8,0.6,12,1823,2,실계약 4년 38억,2024 FA 계약,0,FA 자격권,C,SP,60,69,10,10,35,68,64,57,84,86,71,이닝이터,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,38,,,,,,,,,,,,,,
seoul-twin-stars,우강훈,20,우언우타,SP,PIT,24,ACTIVE,0.4,0.4,3,531,1,연봉계약,공시 연봉 · 서비스타임 반영,6,구단 보류권,C,SP,60,70,10,10,39,63,60,61,73,87,73,이닝이터,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,배재준,25,우투우타,SP,PIT,32,ACTIVE,0.6,1,11,1668,1,연봉계약,공시 연봉 · 서비스타임 반영,0,FA 자격권,C,SP,56,62,10,10,30,44,69,61,62,72,57,1군 등록 선수,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,손주영,29,좌투좌타,SP,PIT,28,ACTIVE,2.9,1.5,10,1534,1,연봉계약,공시 연봉 · 서비스타임 반영,0,FA 자격권,C,SP,69,78,10,10,39,73,67,70,81,82,75,1군 등록 선수,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,톨허스트,30,우투우타,SP,PIT,27,ACTIVE,6,0,1,241,1,외국인 단년계약,외국인 단년계약 추정,0,외국인 보류 제외,B,SP,76,78,10,10,54,74,90,81,77,96,93,외국인 · 이닝이터 · 제구형,Y,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,이정용,31,우투우타,RP,PIT,30,ACTIVE,2.7,2,8,1235,1,연봉계약,공시 연봉 · 서비스타임 반영,0,FA 자격권,C,MR,69,71,10,10,32,68,80,76,79,53,69,1군 등록 선수,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,김진성,42,우투우타,RP,PIT,41,ACTIVE,4.5,0,12,1836,1,연봉계약,공시 연봉 · 서비스타임 반영,0,FA 자격권,C,MR,68,73,10,10,43,58,74,73,72,44,59,베테랑,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,김진수,45,우투우타,RP,PIT,28,ACTIVE,0.4,1,6,952,1,연봉계약,공시 연봉 · 서비스타임 반영,2,구단 보류권,B,MR,70,78,10,10,40,60,76,72,79,45,60,1군 등록 선수,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,리오스,46,우투우타,RP,PIT,33,ACTIVE,6,0,0,22,1,외국인 단년계약,외국인 단년계약 추정,0,외국인 보류 제외,B,MR,70,76,10,10,52,68,71,71,64,52,55,외국인,Y,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,김윤식,47,좌투좌타,RP,PIT,26,ACTIVE,1,2,7,1073,1,연봉계약,공시 연봉 · 서비스타임 반영,2,구단 보류권,C,MR,59,64,10,10,33,55,55,54,78,53,70,1군 등록 선수,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,장현식,50,우투우타,RP,PIT,31,ACTIVE,15,1.5,12,1824,1,연봉계약,공시 연봉 · 서비스타임 반영,0,FA 자격권,C,MR,66,74,10,10,52,69,69,67,62,54,69,1군 등록 선수,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,박시원,58,우투우타,RP,PIT,20,ACTIVE,0.3,0,1,205,1,연봉계약,공시 연봉 · 서비스타임 반영,8,구단 보류권,C,MR,57,68,10,10,41,46,57,60,81,52,72,1군 등록 선수,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,김영우,67,우투우타,RP,PIT,21,ACTIVE,0.9,2,1,241,1,연봉계약,공시 연봉 · 서비스타임 반영,8,구단 보류권,C,MR,67,84,10,10,43,75,79,72,75,56,65,상위 유망주,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,웰스,68,좌투좌타,RP,PIT,29,ACTIVE,6,0,1,228,1,외국인 단년계약,외국인 단년계약 추정,0,외국인 보류 제외,C,MR,67,73,10,10,42,57,75,71,74,40,64,외국인,Y,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,박동원,27,우투우타,C,BAT,36,ACTIVE,5,0.6,12,1836,1,실계약 4년 65억,2023 FA 계약,0,FA 자격권,B,,70,74,68,67,37,77,66,21,66,80,57,베테랑,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,65,,,,,,,,,,,,,,
seoul-twin-stars,이주헌,63,우투우타,C,BAT,23,ACTIVE,0.6,0.7,5,821,1,연봉계약,공시 연봉 · 서비스타임 반영,4,구단 보류권,B,,72,83,69,74,85,67,73,15,80,53,69,성장형 · 주루형,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,문보경,2,우투좌타,3B,BAT,26,ACTIVE,4.8,0.8,6,966,1,연봉계약,공시 연봉 · 서비스타임 반영,3,구단 보류권,B,,70,75,66,65,64,80,64,20,82,74,66,1군 등록 선수,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,신민재,4,우투좌타,2B,BAT,30,ACTIVE,3.8,0,8,1256,1,연봉계약,공시 연봉 · 서비스타임 반영,0,FA 자격권,C,,57,59,56,65,49,49,64,11,78,63,71,1군 등록 선수,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
seoul-twin-stars,구본혁,6,우투우타,SS,BAT,29,ACTIVE,2.3,0.5,8,1256,1,연봉계약,공시 연봉 · 서비스타임 반영,0,FA 자격권,C,,62,69,66,65,36,53,64,13,74,52,70,1군 등록 선수,,공시 1군 등록 공시 연봉/기록 기반 2026-06-23,,,,,,,,,,,,,,,
